text,wav
synthetic tone at 416 hertz number 0,data/audio/wav/000000.wav
synthetic tone at 417 hertz number 1,data/audio/wav/000001.wav
synthetic tone at 481 hertz number 2,data/audio/wav/000002.wav
synthetic tone at 467 hertz number 3,data/audio/wav/000003.wav
synthetic tone at 497 hertz number 4,data/audio/wav/000004.wav
synthetic tone at 439 hertz number 5,data/audio/wav/000005.wav
synthetic tone at 432 hertz number 6,data/audio/wav/000006.wav
synthetic tone at 498 hertz number 7,data/audio/wav/000007.wav
synthetic tone at 409 hertz number 8,data/audio/wav/000008.wav
synthetic tone at 445 hertz number 9,data/audio/wav/000009.wav
synthetic tone at 396 hertz number 10,data/audio/wav/000010.wav
synthetic tone at 462 hertz number 11,data/audio/wav/000011.wav
synthetic tone at 381 hertz number 12,data/audio/wav/000012.wav
synthetic tone at 346 hertz number 13,data/audio/wav/000013.wav
synthetic tone at 304 hertz number 14,data/audio/wav/000014.wav
synthetic tone at 455 hertz number 15,data/audio/wav/000015.wav
synthetic tone at 405 hertz number 16,data/audio/wav/000016.wav
synthetic tone at 478 hertz number 17,data/audio/wav/000017.wav
synthetic tone at 399 hertz number 18,data/audio/wav/000018.wav
synthetic tone at 453 hertz number 19,data/audio/wav/000019.wav
synthetic tone at 482 hertz number 20,data/audio/wav/000020.wav
synthetic tone at 319 hertz number 21,data/audio/wav/000021.wav
synthetic tone at 412 hertz number 22,data/audio/wav/000022.wav
synthetic tone at 458 hertz number 23,data/audio/wav/000023.wav
synthetic tone at 472 hertz number 24,data/audio/wav/000024.wav
synthetic tone at 416 hertz number 25,data/audio/wav/000025.wav
synthetic tone at 307 hertz number 26,data/audio/wav/000026.wav
synthetic tone at 367 hertz number 27,data/audio/wav/000027.wav
synthetic tone at 399 hertz number 28,data/audio/wav/000028.wav
synthetic tone at 324 hertz number 29,data/audio/wav/000029.wav
synthetic tone at 389 hertz number 30,data/audio/wav/000030.wav
synthetic tone at 403 hertz number 31,data/audio/wav/000031.wav
synthetic tone at 467 hertz number 32,data/audio/wav/000032.wav
synthetic tone at 382 hertz number 33,data/audio/wav/000033.wav
synthetic tone at 441 hertz number 34,data/audio/wav/000034.wav
synthetic tone at 477 hertz number 35,data/audio/wav/000035.wav
synthetic tone at 320 hertz number 36,data/audio/wav/000036.wav
synthetic tone at 437 hertz number 37,data/audio/wav/000037.wav
synthetic tone at 500 hertz number 38,data/audio/wav/000038.wav
synthetic tone at 367 hertz number 39,data/audio/wav/000039.wav
synthetic tone at 432 hertz number 40,data/audio/wav/000040.wav
synthetic tone at 320 hertz number 41,data/audio/wav/000041.wav
synthetic tone at 325 hertz number 42,data/audio/wav/000042.wav
synthetic tone at 308 hertz number 43,data/audio/wav/000043.wav
synthetic tone at 432 hertz number 44,data/audio/wav/000044.wav
synthetic tone at 373 hertz number 45,data/audio/wav/000045.wav
synthetic tone at 300 hertz number 46,data/audio/wav/000046.wav
synthetic tone at 340 hertz number 47,data/audio/wav/000047.wav
synthetic tone at 478 hertz number 48,data/audio/wav/000048.wav
synthetic tone at 344 hertz number 49,data/audio/wav/000049.wav
synthetic tone at 340 hertz number 50,data/audio/wav/000050.wav
synthetic tone at 362 hertz number 51,data/audio/wav/000051.wav
synthetic tone at 459 hertz number 52,data/audio/wav/000052.wav
synthetic tone at 306 hertz number 53,data/audio/wav/000053.wav
synthetic tone at 460 hertz number 54,data/audio/wav/000054.wav
synthetic tone at 311 hertz number 55,data/audio/wav/000055.wav
synthetic tone at 462 hertz number 56,data/audio/wav/000056.wav
synthetic tone at 343 hertz number 57,data/audio/wav/000057.wav
synthetic tone at 390 hertz number 58,data/audio/wav/000058.wav
synthetic tone at 407 hertz number 59,data/audio/wav/000059.wav
synthetic tone at 444 hertz number 60,data/audio/wav/000060.wav
synthetic tone at 444 hertz number 61,data/audio/wav/000061.wav
synthetic tone at 341 hertz number 62,data/audio/wav/000062.wav
synthetic tone at 301 hertz number 63,data/audio/wav/000063.wav
synthetic tone at 483 hertz number 64,data/audio/wav/000064.wav
synthetic tone at 338 hertz number 65,data/audio/wav/000065.wav
synthetic tone at 382 hertz number 66,data/audio/wav/000066.wav
synthetic tone at 309 hertz number 67,data/audio/wav/000067.wav
synthetic tone at 328 hertz number 68,data/audio/wav/000068.wav
synthetic tone at 337 hertz number 69,data/audio/wav/000069.wav
synthetic tone at 472 hertz number 70,data/audio/wav/000070.wav
synthetic tone at 306 hertz number 71,data/audio/wav/000071.wav
synthetic tone at 445 hertz number 72,data/audio/wav/000072.wav
synthetic tone at 385 hertz number 73,data/audio/wav/000073.wav
synthetic tone at 335 hertz number 74,data/audio/wav/000074.wav
synthetic tone at 355 hertz number 75,data/audio/wav/000075.wav
synthetic tone at 318 hertz number 76,data/audio/wav/000076.wav
synthetic tone at 444 hertz number 77,data/audio/wav/000077.wav
synthetic tone at 324 hertz number 78,data/audio/wav/000078.wav
synthetic tone at 411 hertz number 79,data/audio/wav/000079.wav
synthetic tone at 397 hertz number 80,data/audio/wav/000080.wav
synthetic tone at 401 hertz number 81,data/audio/wav/000081.wav
synthetic tone at 423 hertz number 82,data/audio/wav/000082.wav
synthetic tone at 448 hertz number 83,data/audio/wav/000083.wav
synthetic tone at 364 hertz number 84,data/audio/wav/000084.wav
synthetic tone at 434 hertz number 85,data/audio/wav/000085.wav
synthetic tone at 305 hertz number 86,data/audio/wav/000086.wav
synthetic tone at 499 hertz number 87,data/audio/wav/000087.wav
synthetic tone at 360 hertz number 88,data/audio/wav/000088.wav
synthetic tone at 456 hertz number 89,data/audio/wav/000089.wav
synthetic tone at 400 hertz number 90,data/audio/wav/000090.wav
synthetic tone at 327 hertz number 91,data/audio/wav/000091.wav
synthetic tone at 312 hertz number 92,data/audio/wav/000092.wav
synthetic tone at 400 hertz number 93,data/audio/wav/000093.wav
synthetic tone at 407 hertz number 94,data/audio/wav/000094.wav
synthetic tone at 400 hertz number 95,data/audio/wav/000095.wav
synthetic tone at 326 hertz number 96,data/audio/wav/000096.wav
synthetic tone at 454 hertz number 97,data/audio/wav/000097.wav
synthetic tone at 343 hertz number 98,data/audio/wav/000098.wav
synthetic tone at 405 hertz number 99,data/audio/wav/000099.wav
synthetic tone at 372 hertz number 100,data/audio/wav/000100.wav
synthetic tone at 328 hertz number 101,data/audio/wav/000101.wav
synthetic tone at 388 hertz number 102,data/audio/wav/000102.wav
synthetic tone at 391 hertz number 103,data/audio/wav/000103.wav
synthetic tone at 461 hertz number 104,data/audio/wav/000104.wav
synthetic tone at 313 hertz number 105,data/audio/wav/000105.wav
synthetic tone at 365 hertz number 106,data/audio/wav/000106.wav
synthetic tone at 449 hertz number 107,data/audio/wav/000107.wav
synthetic tone at 397 hertz number 108,data/audio/wav/000108.wav
synthetic tone at 374 hertz number 109,data/audio/wav/000109.wav
synthetic tone at 308 hertz number 110,data/audio/wav/000110.wav
synthetic tone at 368 hertz number 111,data/audio/wav/000111.wav
synthetic tone at 353 hertz number 112,data/audio/wav/000112.wav
synthetic tone at 333 hertz number 113,data/audio/wav/000113.wav
synthetic tone at 391 hertz number 114,data/audio/wav/000114.wav
synthetic tone at 410 hertz number 115,data/audio/wav/000115.wav
synthetic tone at 418 hertz number 116,data/audio/wav/000116.wav
synthetic tone at 481 hertz number 117,data/audio/wav/000117.wav
synthetic tone at 319 hertz number 118,data/audio/wav/000118.wav
synthetic tone at 439 hertz number 119,data/audio/wav/000119.wav
synthetic tone at 335 hertz number 120,data/audio/wav/000120.wav
synthetic tone at 353 hertz number 121,data/audio/wav/000121.wav
synthetic tone at 307 hertz number 122,data/audio/wav/000122.wav
synthetic tone at 426 hertz number 123,data/audio/wav/000123.wav
synthetic tone at 459 hertz number 124,data/audio/wav/000124.wav
synthetic tone at 483 hertz number 125,data/audio/wav/000125.wav
synthetic tone at 475 hertz number 126,data/audio/wav/000126.wav
synthetic tone at 404 hertz number 127,data/audio/wav/000127.wav
synthetic tone at 367 hertz number 128,data/audio/wav/000128.wav
synthetic tone at 387 hertz number 129,data/audio/wav/000129.wav
synthetic tone at 384 hertz number 130,data/audio/wav/000130.wav
synthetic tone at 337 hertz number 131,data/audio/wav/000131.wav
synthetic tone at 489 hertz number 132,data/audio/wav/000132.wav
synthetic tone at 378 hertz number 133,data/audio/wav/000133.wav
synthetic tone at 396 hertz number 134,data/audio/wav/000134.wav
synthetic tone at 420 hertz number 135,data/audio/wav/000135.wav
synthetic tone at 404 hertz number 136,data/audio/wav/000136.wav
synthetic tone at 325 hertz number 137,data/audio/wav/000137.wav
synthetic tone at 339 hertz number 138,data/audio/wav/000138.wav
synthetic tone at 449 hertz number 139,data/audio/wav/000139.wav
synthetic tone at 480 hertz number 140,data/audio/wav/000140.wav
synthetic tone at 432 hertz number 141,data/audio/wav/000141.wav
synthetic tone at 499 hertz number 142,data/audio/wav/000142.wav
synthetic tone at 352 hertz number 143,data/audio/wav/000143.wav
synthetic tone at 454 hertz number 144,data/audio/wav/000144.wav
synthetic tone at 328 hertz number 145,data/audio/wav/000145.wav
synthetic tone at 487 hertz number 146,data/audio/wav/000146.wav
synthetic tone at 396 hertz number 147,data/audio/wav/000147.wav
synthetic tone at 309 hertz number 148,data/audio/wav/000148.wav
synthetic tone at 392 hertz number 149,data/audio/wav/000149.wav
synthetic tone at 423 hertz number 150,data/audio/wav/000150.wav
synthetic tone at 473 hertz number 151,data/audio/wav/000151.wav
synthetic tone at 449 hertz number 152,data/audio/wav/000152.wav
synthetic tone at 470 hertz number 153,data/audio/wav/000153.wav
synthetic tone at 498 hertz number 154,data/audio/wav/000154.wav
synthetic tone at 340 hertz number 155,data/audio/wav/000155.wav
synthetic tone at 319 hertz number 156,data/audio/wav/000156.wav
synthetic tone at 430 hertz number 157,data/audio/wav/000157.wav
synthetic tone at 343 hertz number 158,data/audio/wav/000158.wav
synthetic tone at 464 hertz number 159,data/audio/wav/000159.wav
synthetic tone at 432 hertz number 160,data/audio/wav/000160.wav
synthetic tone at 469 hertz number 161,data/audio/wav/000161.wav
synthetic tone at 481 hertz number 162,data/audio/wav/000162.wav
synthetic tone at 367 hertz number 163,data/audio/wav/000163.wav
synthetic tone at 334 hertz number 164,data/audio/wav/000164.wav
synthetic tone at 343 hertz number 165,data/audio/wav/000165.wav
synthetic tone at 444 hertz number 166,data/audio/wav/000166.wav
synthetic tone at 396 hertz number 167,data/audio/wav/000167.wav
synthetic tone at 322 hertz number 168,data/audio/wav/000168.wav
synthetic tone at 403 hertz number 169,data/audio/wav/000169.wav
synthetic tone at 429 hertz number 170,data/audio/wav/000170.wav
synthetic tone at 310 hertz number 171,data/audio/wav/000171.wav
synthetic tone at 326 hertz number 172,data/audio/wav/000172.wav
synthetic tone at 429 hertz number 173,data/audio/wav/000173.wav
synthetic tone at 465 hertz number 174,data/audio/wav/000174.wav
synthetic tone at 367 hertz number 175,data/audio/wav/000175.wav
synthetic tone at 438 hertz number 176,data/audio/wav/000176.wav
synthetic tone at 377 hertz number 177,data/audio/wav/000177.wav
synthetic tone at 336 hertz number 178,data/audio/wav/000178.wav
synthetic tone at 317 hertz number 179,data/audio/wav/000179.wav
synthetic tone at 444 hertz number 180,data/audio/wav/000180.wav
synthetic tone at 442 hertz number 181,data/audio/wav/000181.wav
synthetic tone at 423 hertz number 182,data/audio/wav/000182.wav
synthetic tone at 328 hertz number 183,data/audio/wav/000183.wav
synthetic tone at 392 hertz number 184,data/audio/wav/000184.wav
synthetic tone at 335 hertz number 185,data/audio/wav/000185.wav
synthetic tone at 314 hertz number 186,data/audio/wav/000186.wav
synthetic tone at 335 hertz number 187,data/audio/wav/000187.wav
synthetic tone at 350 hertz number 188,data/audio/wav/000188.wav
synthetic tone at 403 hertz number 189,data/audio/wav/000189.wav
synthetic tone at 493 hertz number 190,data/audio/wav/000190.wav
synthetic tone at 482 hertz number 191,data/audio/wav/000191.wav
synthetic tone at 421 hertz number 192,data/audio/wav/000192.wav
synthetic tone at 499 hertz number 193,data/audio/wav/000193.wav
synthetic tone at 324 hertz number 194,data/audio/wav/000194.wav
synthetic tone at 361 hertz number 195,data/audio/wav/000195.wav
synthetic tone at 379 hertz number 196,data/audio/wav/000196.wav
synthetic tone at 302 hertz number 197,data/audio/wav/000197.wav
synthetic tone at 430 hertz number 198,data/audio/wav/000198.wav
synthetic tone at 323 hertz number 199,data/audio/wav/000199.wav
synthetic tone at 446 hertz number 200,data/audio/wav/000200.wav
synthetic tone at 489 hertz number 201,data/audio/wav/000201.wav
synthetic tone at 397 hertz number 202,data/audio/wav/000202.wav
synthetic tone at 337 hertz number 203,data/audio/wav/000203.wav
synthetic tone at 351 hertz number 204,data/audio/wav/000204.wav
synthetic tone at 423 hertz number 205,data/audio/wav/000205.wav
synthetic tone at 500 hertz number 206,data/audio/wav/000206.wav
synthetic tone at 398 hertz number 207,data/audio/wav/000207.wav
synthetic tone at 499 hertz number 208,data/audio/wav/000208.wav
synthetic tone at 390 hertz number 209,data/audio/wav/000209.wav
synthetic tone at 420 hertz number 210,data/audio/wav/000210.wav
synthetic tone at 481 hertz number 211,data/audio/wav/000211.wav
synthetic tone at 391 hertz number 212,data/audio/wav/000212.wav
synthetic tone at 391 hertz number 213,data/audio/wav/000213.wav
synthetic tone at 496 hertz number 214,data/audio/wav/000214.wav
synthetic tone at 372 hertz number 215,data/audio/wav/000215.wav
synthetic tone at 422 hertz number 216,data/audio/wav/000216.wav
synthetic tone at 330 hertz number 217,data/audio/wav/000217.wav
synthetic tone at 388 hertz number 218,data/audio/wav/000218.wav
synthetic tone at 490 hertz number 219,data/audio/wav/000219.wav
synthetic tone at 386 hertz number 220,data/audio/wav/000220.wav
synthetic tone at 328 hertz number 221,data/audio/wav/000221.wav
synthetic tone at 399 hertz number 222,data/audio/wav/000222.wav
synthetic tone at 418 hertz number 223,data/audio/wav/000223.wav
synthetic tone at 444 hertz number 224,data/audio/wav/000224.wav
synthetic tone at 356 hertz number 225,data/audio/wav/000225.wav
synthetic tone at 428 hertz number 226,data/audio/wav/000226.wav
synthetic tone at 359 hertz number 227,data/audio/wav/000227.wav
synthetic tone at 475 hertz number 228,data/audio/wav/000228.wav
synthetic tone at 420 hertz number 229,data/audio/wav/000229.wav
synthetic tone at 358 hertz number 230,data/audio/wav/000230.wav
synthetic tone at 410 hertz number 231,data/audio/wav/000231.wav
synthetic tone at 447 hertz number 232,data/audio/wav/000232.wav
synthetic tone at 404 hertz number 233,data/audio/wav/000233.wav
synthetic tone at 351 hertz number 234,data/audio/wav/000234.wav
synthetic tone at 345 hertz number 235,data/audio/wav/000235.wav
synthetic tone at 478 hertz number 236,data/audio/wav/000236.wav
synthetic tone at 359 hertz number 237,data/audio/wav/000237.wav
synthetic tone at 302 hertz number 238,data/audio/wav/000238.wav
synthetic tone at 301 hertz number 239,data/audio/wav/000239.wav
synthetic tone at 454 hertz number 240,data/audio/wav/000240.wav
synthetic tone at 351 hertz number 241,data/audio/wav/000241.wav
synthetic tone at 419 hertz number 242,data/audio/wav/000242.wav
synthetic tone at 300 hertz number 243,data/audio/wav/000243.wav
synthetic tone at 459 hertz number 244,data/audio/wav/000244.wav
synthetic tone at 317 hertz number 245,data/audio/wav/000245.wav
synthetic tone at 359 hertz number 246,data/audio/wav/000246.wav
synthetic tone at 406 hertz number 247,data/audio/wav/000247.wav
synthetic tone at 300 hertz number 248,data/audio/wav/000248.wav
synthetic tone at 397 hertz number 249,data/audio/wav/000249.wav
synthetic tone at 310 hertz number 250,data/audio/wav/000250.wav
synthetic tone at 368 hertz number 251,data/audio/wav/000251.wav
synthetic tone at 388 hertz number 252,data/audio/wav/000252.wav
synthetic tone at 386 hertz number 253,data/audio/wav/000253.wav
synthetic tone at 464 hertz number 254,data/audio/wav/000254.wav
synthetic tone at 432 hertz number 255,data/audio/wav/000255.wav
synthetic tone at 326 hertz number 256,data/audio/wav/000256.wav
synthetic tone at 369 hertz number 257,data/audio/wav/000257.wav
synthetic tone at 336 hertz number 258,data/audio/wav/000258.wav
synthetic tone at 468 hertz number 259,data/audio/wav/000259.wav
synthetic tone at 353 hertz number 260,data/audio/wav/000260.wav
synthetic tone at 468 hertz number 261,data/audio/wav/000261.wav
synthetic tone at 407 hertz number 262,data/audio/wav/000262.wav
synthetic tone at 330 hertz number 263,data/audio/wav/000263.wav
synthetic tone at 477 hertz number 264,data/audio/wav/000264.wav
synthetic tone at 331 hertz number 265,data/audio/wav/000265.wav
synthetic tone at 414 hertz number 266,data/audio/wav/000266.wav
synthetic tone at 416 hertz number 267,data/audio/wav/000267.wav
synthetic tone at 332 hertz number 268,data/audio/wav/000268.wav
synthetic tone at 396 hertz number 269,data/audio/wav/000269.wav
synthetic tone at 429 hertz number 270,data/audio/wav/000270.wav
synthetic tone at 359 hertz number 271,data/audio/wav/000271.wav
synthetic tone at 389 hertz number 272,data/audio/wav/000272.wav
synthetic tone at 405 hertz number 273,data/audio/wav/000273.wav
synthetic tone at 485 hertz number 274,data/audio/wav/000274.wav
synthetic tone at 441 hertz number 275,data/audio/wav/000275.wav
synthetic tone at 495 hertz number 276,data/audio/wav/000276.wav
synthetic tone at 357 hertz number 277,data/audio/wav/000277.wav
synthetic tone at 364 hertz number 278,data/audio/wav/000278.wav
synthetic tone at 336 hertz number 279,data/audio/wav/000279.wav
synthetic tone at 372 hertz number 280,data/audio/wav/000280.wav
synthetic tone at 424 hertz number 281,data/audio/wav/000281.wav
synthetic tone at 338 hertz number 282,data/audio/wav/000282.wav
synthetic tone at 433 hertz number 283,data/audio/wav/000283.wav
synthetic tone at 348 hertz number 284,data/audio/wav/000284.wav
synthetic tone at 432 hertz number 285,data/audio/wav/000285.wav
synthetic tone at 331 hertz number 286,data/audio/wav/000286.wav
synthetic tone at 339 hertz number 287,data/audio/wav/000287.wav
synthetic tone at 385 hertz number 288,data/audio/wav/000288.wav
synthetic tone at 341 hertz number 289,data/audio/wav/000289.wav
synthetic tone at 419 hertz number 290,data/audio/wav/000290.wav
synthetic tone at 348 hertz number 291,data/audio/wav/000291.wav
synthetic tone at 349 hertz number 292,data/audio/wav/000292.wav
synthetic tone at 312 hertz number 293,data/audio/wav/000293.wav
synthetic tone at 497 hertz number 294,data/audio/wav/000294.wav
synthetic tone at 494 hertz number 295,data/audio/wav/000295.wav
synthetic tone at 433 hertz number 296,data/audio/wav/000296.wav
synthetic tone at 383 hertz number 297,data/audio/wav/000297.wav
synthetic tone at 438 hertz number 298,data/audio/wav/000298.wav
synthetic tone at 452 hertz number 299,data/audio/wav/000299.wav
